A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,D
8,4,9,6,7,5,7,7,2,7,11,7,9,3,8,4,E
8,1,4,3,3,1,7,3,1,7,8,2,10,0,7,2,L
8,1,2,2,3,1,7,8,4,1,7,8,10,1,9,3,Q
6,2,5,3,4,2,4,4,4,8,2,1,7,0,7,1,L
6,6,9,8,7,5,7,7,3,7,10,8,9,2,10,5,S
8,5,6,7,9,10,9,5,6,2,7,6,8,8,9,4,Q
7,5,5,7,7,8,8,7,4,2,7,8,7,7,12,5,P
7,2,3,3,1,1,6,11,3,5,13,6,4,1,9,1,F
9,6,11,8,8,7,10,7,3,6,10,3,7,6,8,5,H
8,4,6,6,8,1,8,12,2,3,7,12,8,1,10,0,Y
7,10,14,9,8,4,6,4,4,6,4,7,6,6,5,2,U
8,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,W
12,6,9,8,6,7,10,6,3,6,10,3,7,4,7,5,B
9,7,10,5,8,4,7,10,3,2,12,5,5,2,9,8,J
8,6,10,7,8,3,7,10,9,9,8,8,6,3,8,4,O
8,4,9,4,7,1,0,0,6,6,0,0,5,0,8,0,L
6,4,6,4,8,2,0,12,4,5,12,11,8,0,8,2,F
8,4,9,5,6,1,7,7,5,4,7,6,8,3,8,4,X
7,2,3,4,2,2,5,8,2,7,10,8,9,3,8,2,K
7,5,7,7,5,3,5,9,3,5,10,9,9,6,7,1,N
9,3,7,5,5,2,9,6,3,9,11,3,9,1,7,6,Z
9,4,11,5,8,5,3,7,5,9,7,7,14,0,8,6,E
7,3,5,3,4,2,5,10,4,5,10,9,5,1,10,3,F
5,3,4,4,6,4,8,7,4,0,7,6,7,3,9,8,H
8,6,5,6,8,3,7,7,15,2,4,6,8,6,8,0,N
9,3,10,4,7,5,7,7,6,8,8,8,9,3,8,6,E
8,2,7,3,5,2,7,7,0,7,13,6,8,0,8,1,I
7,4,5,7,4,6,7,7,3,4,7,5,8,6,9,5,R
3,4,5,6,5,5,7,8,5,4,7,5,7,6,9,5,N
8,5,9,7,8,8,7,8,3,4,7,5,8,7,8,6,R
6,4,7,6,5,8,11,7,3,4,8,4,7,5,5,2,M
8,4,9,6,6,5,7,7,2,7,11,7,9,3,8,4,E
7,4,8,5,6,5,6,9,6,5,9,7,4,2,10,3,P
8,6,12,6,7,3,7,7,3,5,14,7,8,2,9,3,S
8,6,9,8,4,3,8,7,3,4,13,5,8,6,8,0,N
8,4,7,6,5,5,7,7,2,4,9,7,9,7,6,2,M
10,2,1,2,1,1,8,6,6,6,6,5,9,1,7,5,G
9,4,8,6,6,3,13,3,4,3,11,1,8,2,6,2,A
8,4,6,6,4,3,6,6,5,7,6,5,9,3,9,4,G
10,1,1,2,1,0,4,6,6,2,7,6,11,3,8,2,K
4,3,5,4,4,5,8,8,5,4,7,6,8,6,8,7,V
8,2,3,3,2,2,8,7,7,4,9,6,9,2,8,3,O
7,1,3,3,2,1,5,9,3,3,10,8,8,4,8,0,N
8,6,10,8,8,6,7,9,5,7,5,4,9,4,4,7,R
8,4,8,4,6,3,5,8,10,9,8,7,6,3,8,4,D
8,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,I
8,4,8,6,9,8,7,9,4,4,8,6,7,4,9,8,F
7,3,6,4,4,1,7,6,3,6,14,7,11,1,6,1,J
8,4,6,6,9,9,8,4,5,3,7,8,8,7,8,5,Y
8,2,2,3,3,1,7,10,1,6,7,11,9,1,11,1,Y
8,4,5,5,7,2,7,7,4,4,7,6,8,3,8,4,X
8,3,7,4,5,2,7,7,14,2,5,6,8,5,8,0,N
7,4,10,5,8,4,5,12,4,7,9,12,7,2,12,1,T
8,3,10,4,8,2,7,7,4,14,10,6,8,0,8,8,Z
8,4,7,5,5,5,7,7,4,6,6,5,7,3,7,4,R
9,5,7,7,11,10,8,9,3,2,5,8,10,6,13,9,Y
9,6,9,8,7,5,8,6,2,9,12,5,10,3,7,7,Z
8,2,7,3,5,3,7,7,5,9,7,6,8,1,8,7,Z
8,3,10,4,8,5,6,8,5,9,7,7,9,2,9,7,Z
10,5,9,7,7,6,9,7,3,7,10,4,6,2,8,5,B
8,5,9,6,7,3,9,9,9,9,5,8,10,3,8,4,O
8,8,12,7,6,3,7,9,6,4,13,4,5,4,10,4,P
5,4,9,5,6,5,9,4,7,5,8,8,7,5,8,5,Y
7,7,8,7,9,7,8,7,6,2,7,7,11,5,9,7,Q
8,6,10,9,7,7,4,11,2,2,8,9,9,7,12,1,W
10,5,9,5,5,3,10,5,4,5,11,3,7,4,7,4,D
7,3,7,4,5,3,5,11,5,4,11,8,4,1,10,4,P
6,2,4,3,3,2,5,10,4,5,10,9,5,1,10,3,F
8,4,8,5,6,7,8,8,5,3,7,6,6,7,9,8,H
9,9,15,8,8,5,6,7,5,4,8,10,9,7,11,5,H
8,4,7,4,5,4,7,8,5,9,7,7,9,1,9,7,Z
9,5,10,6,7,4,6,7,7,7,10,7,11,2,10,4,G
10,3,5,5,3,3,8,7,2,6,10,5,7,2,8,4,B
7,3,4,5,3,2,6,10,2,6,13,6,5,1,9,3,F
7,2,3,4,2,2,7,9,2,6,13,6,5,2,9,2,F
7,5,9,7,7,6,10,9,6,4,7,5,8,3,8,10,Z
8,2,7,4,5,3,11,3,2,2,9,2,9,2,6,3,A
8,1,1,2,2,1,8,7,3,8,6,6,8,2,8,6,X
5,5,8,7,6,6,9,9,5,4,7,5,7,3,8,9,Z
9,3,5,5,4,2,10,7,1,8,11,3,7,2,8,3,X
6,2,4,4,3,2,7,8,2,9,12,7,7,1,8,5,Z
9,1,0,2,1,1,6,10,7,2,7,5,8,2,7,4,R
8,3,5,6,4,2,6,13,3,3,8,11,8,3,10,1,V
7,7,11,10,8,7,7,11,2,3,6,9,8,12,11,2,W
8,3,5,4,3,3,8,7,7,5,7,6,8,2,8,3,O
7,4,8,6,6,7,7,7,3,4,6,6,8,7,7,7,K
10,3,2,4,4,3,6,7,4,7,6,6,11,3,8,5,K
8,3,1,4,1,1,7,9,5,6,7,10,9,3,10,1,U
10,4,7,4,5,3,6,7,5,5,9,7,12,2,9,4,G
7,2,6,3,4,1,6,8,1,8,14,7,8,0,8,1,I
8,5,8,6,6,3,8,7,12,2,6,9,8,9,6,0,M
8,2,5,5,3,2,7,8,2,9,12,6,8,1,9,5,Z
9,2,2,3,3,2,8,8,5,2,7,7,10,2,9,4,Q
8,15,15,15,8,8,3,9,6,6,3,2,13,10,12,2,M
8,4,8,5,6,2,4,13,8,1,11,6,3,1,10,4,P
10,6,9,8,7,6,9,6,4,7,9,5,7,3,8,6,B
9,7,15,7,8,5,9,3,4,4,12,7,11,4,8,7,L
6,7,10,7,7,3,2,12,5,5,12,12,6,2,11,2,Y
6,3,6,4,4,3,8,8,8,5,6,7,9,3,8,4,U
8,2,1,3,2,2,8,7,3,8,6,6,8,2,8,5,X
7,6,8,9,6,4,8,8,2,6,10,5,6,6,9,1,N
8,6,6,8,8,4,11,8,5,2,6,9,8,8,9,0,W
7,6,8,10,6,7,4,7,3,5,11,10,11,9,8,4,M
5,4,9,6,6,9,9,9,4,5,7,6,6,5,8,9,D
10,6,11,6,8,5,6,6,9,7,6,6,7,2,8,10,B
8,2,3,4,4,1,7,8,4,2,7,13,8,3,10,0,V
8,3,9,5,6,1,8,10,3,2,6,13,8,2,11,0,Y
5,5,11,6,8,5,4,10,4,6,11,10,6,2,10,3,F
8,3,3,4,2,2,7,7,5,6,6,6,9,2,9,4,G
10,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,B
8,3,9,3,6,1,0,1,5,6,0,0,7,0,8,0,L
11,4,7,4,5,2,4,6,8,2,7,7,11,3,8,3,K
7,5,8,7,6,3,9,4,3,6,6,7,4,1,10,4,I
10,7,11,5,15,4,8,8,3,3,13,4,5,3,8,7,J
9,5,8,8,6,11,8,7,5,2,7,6,8,13,11,3,W
5,4,7,7,5,5,5,9,3,5,10,9,8,3,8,3,H
7,4,5,4,8,3,3,8,6,11,7,5,14,0,8,7,E
11,6,9,8,6,7,8,6,6,4,8,5,7,4,7,7,R
9,9,15,8,8,5,5,5,4,4,7,8,10,7,5,3,U
7,3,10,4,7,2,3,7,6,11,7,6,15,0,8,7,E
9,5,9,7,7,4,8,7,2,10,12,5,9,1,8,6,Z
8,2,0,2,0,0,7,5,10,4,7,13,8,3,10,0,U
10,2,1,3,2,1,8,6,6,6,6,5,9,1,7,6,G
9,3,5,5,4,3,8,7,3,5,10,4,6,3,7,3,R
8,4,11,5,8,4,5,8,8,6,10,8,13,3,12,5,C
12,5,9,7,7,8,7,9,5,5,8,5,7,7,6,8,K
8,3,5,4,6,4,8,7,7,3,8,6,9,2,9,3,Q
10,4,9,6,6,4,9,7,4,6,9,4,7,3,7,5,R
8,4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,W
8,4,7,5,5,2,7,5,12,5,7,15,8,3,9,0,U
3,8,11,8,8,7,6,11,3,7,11,9,5,5,11,4,T
8,3,9,4,7,1,12,2,9,4,14,5,13,1,6,0,J
7,3,10,4,8,2,7,7,0,8,13,6,8,0,8,1,I
8,4,6,6,4,3,8,7,2,8,10,5,8,3,8,4,X
7,4,7,5,5,4,7,7,7,8,6,5,5,3,8,3,D
8,2,1,2,1,2,7,7,7,5,6,6,7,1,8,7,B
7,6,10,8,8,8,7,10,6,3,5,6,10,4,7,7,G
6,4,10,4,7,2,1,11,5,6,11,11,9,0,8,2,F
7,4,2,5,4,4,7,7,7,7,6,6,5,2,8,3,D
8,2,7,2,5,1,7,7,0,7,13,6,8,0,8,1,I
8,4,11,6,8,4,8,8,6,7,4,8,9,6,10,1,U
8,5,10,8,8,8,7,7,5,7,7,6,8,6,8,4,H
11,10,14,8,8,5,8,8,6,5,9,4,9,7,5,6,R
11,8,12,8,6,4,11,0,4,3,12,6,14,4,5,5,A
9,1,0,2,1,1,5,7,5,7,7,6,12,0,8,7,E
11,4,6,5,5,5,10,7,5,5,7,6,9,4,8,8,S
3,4,9,4,4,2,6,8,3,4,10,7,5,3,10,4,Y
9,4,3,5,5,4,8,8,6,2,5,7,10,3,9,6,Q
8,3,3,4,4,3,7,8,5,3,8,8,10,3,9,5,Q
8,8,10,11,8,9,12,6,2,5,9,3,6,10,4,2,M
8,3,6,4,4,4,8,7,6,6,7,6,8,3,8,3,H
8,3,6,5,4,2,7,9,6,7,5,10,9,3,9,1,U
8,7,9,7,4,4,7,8,3,5,11,7,8,6,9,4,H
8,4,9,5,7,3,5,7,10,9,6,5,6,3,8,4,D
9,4,9,5,7,3,7,10,3,2,6,11,8,2,10,3,V
4,5,7,5,5,2,4,8,6,8,9,9,9,3,9,2,U
7,2,6,3,4,2,1,10,3,5,11,11,9,0,8,2,F
6,4,5,6,4,3,4,8,2,8,10,10,11,4,7,3,K
8,1,10,0,8,1,7,7,5,3,7,6,8,0,8,0,I
8,4,6,5,4,2,7,11,3,3,8,11,8,3,10,3,V
4,7,10,7,8,3,4,10,3,8,11,11,5,1,11,3,Y
6,12,15,11,8,5,4,8,4,7,10,10,11,6,9,3,K
8,2,3,3,1,1,7,9,2,5,13,6,5,1,9,2,F
7,4,11,6,8,4,7,9,0,8,13,6,6,1,9,2,I
9,4,9,4,7,3,7,10,2,3,13,5,5,2,8,7,J
9,1,3,2,1,1,7,3,1,6,9,3,10,0,7,2,L
7,3,1,4,2,3,7,6,6,5,6,7,7,8,6,2,M
7,6,5,7,4,3,3,10,3,3,10,10,8,7,10,1,W
10,4,7,5,5,5,8,6,6,3,8,5,7,4,7,7,R
8,4,10,6,7,6,8,8,2,8,7,7,7,1,8,10,Z
7,1,0,1,0,0,7,7,3,5,7,6,8,2,8,4,X
7,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,N
6,6,9,8,6,6,7,8,8,6,5,7,11,4,8,5,U
7,2,6,4,4,3,7,7,5,6,7,6,5,3,8,3,D
10,4,7,6,5,4,10,7,4,6,10,3,6,3,7,4,R
8,5,10,7,8,5,5,12,3,2,9,10,8,5,10,6,V
8,3,8,4,6,2,7,7,0,8,14,6,8,0,8,1,I
8,4,8,6,6,7,7,8,5,3,7,9,8,6,8,3,W
9,7,10,8,7,5,8,7,3,6,10,5,7,2,8,5,S
8,2,6,3,4,1,12,2,9,4,13,5,13,1,6,0,J
8,4,7,4,5,3,7,7,12,1,7,9,8,8,6,0,M
6,7,11,6,6,3,7,6,4,6,4,8,6,6,7,3,U
8,3,6,5,4,3,11,2,2,2,9,2,9,2,6,3,A
11,4,6,6,9,4,12,3,3,6,10,2,8,1,7,5,Z
8,3,9,5,7,3,12,3,3,3,10,1,9,2,6,2,A
8,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,I
8,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,I
8,4,5,5,8,3,7,7,14,2,4,6,8,6,8,0,N
8,4,10,5,7,4,9,4,3,1,8,2,8,2,7,2,A
9,6,9,8,8,7,7,5,4,5,9,3,7,4,8,6,O
8,1,8,2,6,2,7,7,0,7,7,6,8,0,8,2,I
8,3,10,4,7,1,12,2,10,4,14,5,13,1,6,0,J
7,4,5,5,4,2,4,9,5,8,12,10,12,1,8,2,C
10,3,7,3,5,2,6,9,9,5,7,5,8,3,8,5,R
8,3,8,5,6,4,6,7,5,6,6,5,7,3,7,5,R
8,7,10,9,8,5,7,8,4,9,11,5,6,2,6,5,S
5,5,10,6,7,4,6,8,3,6,10,8,7,2,8,5,S
2,5,11,8,8,9,5,10,0,4,9,7,6,6,9,5,F
8,1,0,2,1,0,8,7,6,3,6,6,9,2,8,3,Q
7,5,9,7,7,6,7,7,5,6,7,6,8,7,7,3,D
8,4,9,6,7,2,8,8,5,3,6,14,8,3,9,0,V
7,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,L
6,2,1,3,2,1,4,4,3,8,2,1,7,0,7,1,L
6,5,7,6,5,4,5,7,5,7,9,7,9,3,9,3,U
8,4,8,4,6,3,7,6,12,4,7,12,8,3,9,0,U
9,2,5,4,4,3,8,7,3,5,10,5,6,2,8,4,B
9,2,1,3,2,1,6,7,6,10,7,6,14,0,8,4,C
7,3,5,6,4,3,7,9,2,5,10,6,6,5,9,1,N
10,1,0,2,1,0,8,6,6,4,6,5,9,1,8,5,G
8,2,9,3,7,1,15,2,6,5,14,1,9,0,7,0,J
5,5,9,5,6,2,3,11,3,6,12,11,5,1,11,2,Y
8,2,1,3,2,1,6,8,6,6,6,9,9,3,9,0,U
8,3,7,5,4,1,7,10,3,2,7,13,8,2,11,0,Y
8,2,7,4,4,1,8,15,1,5,6,11,8,0,8,0,T
9,4,10,6,7,4,9,3,2,7,8,2,9,3,4,4,L
9,6,9,8,7,4,7,10,5,4,12,5,3,1,10,3,P
10,4,6,5,4,3,6,7,6,6,10,7,11,2,9,4,G
7,3,8,5,6,3,7,8,4,9,6,6,7,3,9,7,X
7,7,9,8,4,3,9,6,4,4,13,2,7,6,8,0,N
8,3,7,4,5,2,9,9,4,2,5,13,8,2,10,0,V
8,2,1,3,2,1,9,3,2,2,8,2,8,2,6,2,A
8,3,9,5,7,3,11,4,2,2,8,2,9,3,5,3,A
10,4,9,6,6,5,6,6,3,7,6,6,9,3,8,5,K
8,3,8,5,6,2,7,8,8,7,7,7,8,3,8,4,O
9,3,7,4,5,4,7,7,8,5,7,6,7,2,8,7,B
6,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,J
7,2,8,4,5,2,7,6,3,1,6,0,8,2,7,2,A
9,4,8,6,7,6,6,8,5,3,6,5,9,8,7,5,N
10,6,10,9,8,9,8,7,6,6,9,7,6,6,10,9,B
7,3,5,4,3,2,4,12,2,3,9,11,7,3,10,1,V
8,1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,Z
9,2,3,4,2,2,8,7,4,4,9,4,6,2,7,3,R
8,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,Z
10,8,13,6,8,4,10,6,6,4,10,2,9,7,5,6,R
9,7,10,9,8,6,7,7,8,7,6,7,8,5,6,5,C
8,3,9,4,6,1,7,15,0,6,7,11,8,0,8,0,T
7,4,8,6,6,4,4,12,6,4,11,8,3,0,10,4,P
8,3,10,4,8,2,8,6,6,9,5,6,10,0,9,9,S
5,4,10,5,7,3,5,3,7,7,2,2,4,1,6,1,L
8,3,7,3,4,2,4,11,9,3,9,6,4,1,10,3,P
10,5,6,6,4,5,7,6,6,4,7,6,8,3,8,7,P
10,4,6,5,4,5,7,6,6,7,6,6,6,2,9,6,B
8,1,0,1,1,0,2,1,5,5,0,2,5,0,8,0,L
7,7,13,7,7,4,8,5,4,4,6,7,7,5,7,3,U
8,7,10,7,5,3,7,8,4,3,13,8,7,3,9,4,S
7,2,5,3,3,1,4,8,5,6,11,9,12,1,9,2,C
5,6,8,6,6,3,4,8,6,8,10,10,9,3,9,2,U
7,5,6,8,4,4,6,7,3,6,10,8,10,3,8,3,H
8,4,8,4,6,2,5,6,10,8,5,4,5,3,8,4,D
7,3,7,5,5,3,7,12,3,7,8,11,7,2,11,1,T
9,3,1,4,2,3,6,7,4,7,7,6,10,6,8,4,K
7,4,8,5,6,3,7,12,3,7,7,11,8,2,12,1,T
8,1,8,0,6,0,7,7,4,4,7,6,8,0,8,0,I
9,5,7,7,5,3,9,8,2,7,14,4,4,2,9,3,F
9,2,1,3,2,2,6,7,4,7,7,6,10,3,8,5,K
7,5,10,7,8,7,6,9,6,5,9,7,4,2,10,4,P
8,6,10,7,8,5,6,7,7,7,5,7,10,2,7,4,G
7,2,6,4,4,5,9,6,3,3,6,6,7,5,9,6,H
6,7,10,7,7,6,4,10,2,3,9,9,8,7,11,2,W
4,4,6,4,4,2,4,10,2,7,11,11,6,1,10,2,Y
7,2,5,4,4,2,6,10,2,6,13,7,6,1,9,2,F
8,5,11,7,8,8,5,7,5,4,7,5,8,4,6,10,K
8,3,3,4,2,2,7,8,5,5,7,5,7,2,7,4,R
8,2,8,3,6,2,14,4,4,4,12,2,9,0,7,0,J
7,3,6,4,4,4,7,7,4,6,7,6,6,3,8,2,D
8,4,5,7,8,2,7,8,4,3,7,14,8,3,9,0,V
7,4,7,6,5,8,9,6,5,2,7,6,8,10,10,2,W
5,6,11,8,8,9,6,7,3,4,8,8,9,8,9,7,N
8,4,6,4,4,3,8,6,7,4,9,5,8,3,8,3,O
7,5,2,6,4,4,8,6,6,4,7,7,8,8,6,2,M
9,3,9,3,7,5,7,8,8,6,7,5,7,2,7,8,B
8,4,8,5,6,1,7,7,4,4,7,6,8,3,8,4,X
3,6,9,8,7,6,6,7,8,6,6,6,11,6,8,8,U
9,2,3,2,1,2,6,7,4,6,6,6,10,3,8,4,K
11,6,12,5,6,2,10,2,1,5,9,1,8,2,8,4,S
10,4,5,5,7,3,9,9,8,6,5,8,9,3,7,6,Q
6,5,5,7,4,6,7,7,4,3,8,5,8,7,8,6,R
10,3,7,5,5,4,7,6,7,5,6,6,8,3,8,4,L
5,3,6,4,4,2,5,3,6,9,2,2,4,1,6,1,L
7,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,P
8,4,10,5,8,3,7,13,0,6,7,10,8,0,8,0,T
10,1,0,1,1,0,6,7,6,8,7,6,14,0,8,4,C
8,4,7,5,5,3,7,7,2,9,11,6,9,2,8,5,E
7,2,4,4,3,1,8,6,3,6,14,6,10,0,7,0,J
6,4,6,6,5,4,6,6,5,5,8,4,8,3,7,5,O
8,3,6,3,4,1,7,5,13,5,7,13,8,3,9,0,U
4,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,N
6,6,9,7,4,3,5,8,3,5,9,9,10,5,10,3,K
6,10,15,10,8,5,4,9,2,2,8,10,8,9,12,1,W
7,1,5,2,3,1,10,6,3,5,12,4,9,1,6,1,J
8,2,9,2,7,2,7,7,0,8,7,6,9,0,8,3,I
5,9,14,8,8,5,4,9,4,3,11,10,6,4,11,4,Y
7,4,4,5,3,2,4,9,5,7,11,10,9,3,9,2,U
8,4,2,6,3,3,7,11,2,2,6,9,8,7,11,0,W
8,6,10,6,8,3,7,3,15,6,7,13,8,3,9,0,U
9,2,4,4,3,2,7,7,2,7,11,6,8,2,8,4,E
5,3,7,4,5,4,9,8,6,5,6,5,4,5,9,2,N
7,1,5,2,4,1,7,7,0,7,13,6,8,0,8,1,I
11,5,9,8,6,5,10,6,2,9,11,4,8,2,8,5,E
7,3,6,4,4,4,8,6,6,4,7,7,8,7,5,2,M
9,3,6,3,4,3,4,7,5,8,7,6,13,0,8,6,E
9,5,10,6,8,4,8,7,5,8,11,3,8,2,7,5,S
9,2,4,3,4,3,8,8,6,3,8,6,9,2,9,4,Q
8,5,7,7,5,3,6,8,5,1,7,8,8,8,9,0,W
10,4,8,6,6,5,9,7,4,6,10,5,6,2,8,6,B
8,2,2,1,3,1,7,7,1,8,7,6,8,0,8,3,I
9,9,12,8,6,4,6,6,6,4,9,11,10,7,11,5,H
6,6,9,10,7,12,7,5,3,2,7,5,8,15,7,4,M
8,5,10,6,8,4,7,8,1,7,7,6,8,0,8,4,I
7,1,4,2,3,1,7,8,0,7,13,6,8,0,8,1,I
5,2,3,3,2,1,6,11,2,7,11,9,5,1,10,2,T
8,3,7,3,5,1,0,0,6,6,0,1,5,0,8,0,L
11,5,10,7,8,7,6,8,5,5,7,6,7,6,7,6,H
6,2,1,2,2,1,5,3,5,7,2,2,4,1,7,1,L
10,4,5,5,5,5,9,8,4,6,6,8,9,4,11,7,S
3,4,5,5,4,2,4,10,1,8,10,10,5,4,11,4,Y
8,5,9,6,7,4,7,4,3,1,7,2,8,3,8,3,A
4,4,6,5,4,2,6,12,3,7,12,9,4,2,11,2,T
7,2,5,4,3,2,8,2,2,2,8,2,8,2,6,2,A
10,2,2,3,4,2,6,8,8,7,9,8,12,1,10,4,C
7,3,5,4,4,2,4,8,5,7,12,9,11,1,10,2,C
8,3,6,3,4,1,0,1,6,6,0,1,5,0,8,0,L
10,3,4,4,5,3,8,8,6,2,5,7,10,3,9,6,Q
8,3,5,5,4,3,5,8,1,6,10,8,10,3,8,3,K
9,3,4,5,3,3,10,6,3,7,10,3,6,2,8,3,D
6,4,10,4,7,2,1,13,5,3,12,9,6,0,8,3,F
11,4,8,5,6,2,7,6,7,8,6,6,9,1,8,6,G
8,3,7,4,5,2,7,12,3,4,7,11,8,2,10,1,V
8,4,11,5,8,2,7,7,4,4,7,6,8,3,8,4,X
7,2,4,3,3,1,11,6,1,6,11,3,7,0,7,0,J
11,3,9,4,6,3,5,11,8,4,7,4,9,3,7,6,R
8,3,4,4,6,2,7,7,9,7,7,6,8,3,8,4,O
10,4,8,5,6,4,6,6,8,7,6,6,7,2,8,9,B
8,2,1,3,3,3,7,7,5,5,7,6,8,3,8,2,H
7,10,11,10,8,4,3,9,6,9,12,12,9,3,9,1,U
8,2,0,3,1,0,7,9,4,2,7,13,8,2,10,0,V
7,3,9,4,7,3,6,4,2,1,6,1,8,2,6,2,A
6,6,11,7,6,4,4,9,3,6,10,10,11,5,8,3,K
7,8,15,6,8,3,6,3,4,4,6,1,7,3,7,6,S
7,5,9,7,6,4,7,8,2,6,14,5,7,1,8,1,J
4,9,13,9,7,5,6,8,2,10,12,8,8,4,4,8,Z
10,5,10,7,8,6,6,6,6,4,7,6,9,5,8,7,P
8,3,8,5,6,5,6,11,2,2,7,8,8,6,11,1,W
11,3,7,5,5,4,7,8,5,6,8,5,9,3,6,5,R
8,3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,Z
7,4,5,6,4,4,7,7,3,6,10,6,8,3,8,3,H
6,4,6,5,6,5,5,8,4,7,8,8,9,3,8,7,T
5,3,6,4,4,2,5,3,5,8,2,2,4,1,6,1,L
6,3,5,4,4,2,4,4,4,8,2,1,6,0,7,1,L
8,4,8,5,9,5,8,7,7,4,9,6,9,3,8,6,Q
5,4,10,6,8,3,3,4,3,10,2,0,7,0,7,1,L
7,4,7,5,5,6,8,6,4,1,7,8,8,7,9,4,V
6,4,8,6,6,5,7,7,7,7,5,9,10,4,8,7,T
8,3,5,4,7,1,7,14,0,6,7,11,8,0,8,0,T
4,6,9,9,8,10,9,7,4,4,8,4,7,8,10,7,R
12,5,7,7,10,10,8,6,5,1,6,6,9,8,9,6,Q
5,3,4,4,3,1,4,11,2,7,11,10,5,1,11,2,Y
8,0,0,1,1,0,12,4,5,3,12,4,11,0,7,0,J
9,2,0,2,1,1,6,7,6,10,7,6,14,0,8,4,C
8,3,9,5,7,3,7,5,1,7,8,2,10,0,6,2,L
14,5,6,7,9,10,8,9,5,2,6,7,9,9,14,10,Q
8,2,0,2,0,0,7,10,3,1,7,12,8,1,11,0,Y
11,6,10,8,7,8,8,8,6,4,8,6,7,5,11,9,F
8,4,6,5,4,3,8,7,3,6,10,6,8,2,9,5,S
8,4,5,5,6,4,7,9,5,3,7,9,11,3,9,6,Q
5,5,10,5,7,3,4,14,5,5,12,9,3,1,11,1,T
8,7,9,11,7,6,9,6,2,5,9,5,7,11,7,2,M
8,6,9,8,7,5,7,9,6,5,7,6,6,7,8,3,N
5,5,7,5,5,3,3,10,2,7,11,11,7,1,11,2,Y
10,3,3,4,5,2,3,6,7,3,7,7,12,3,8,3,K
8,3,8,5,6,1,9,10,3,2,5,13,8,1,11,0,Y
7,1,4,2,2,1,9,6,3,5,12,5,9,1,7,1,J
7,4,5,7,3,4,6,8,1,7,10,7,10,3,8,3,K
8,2,0,2,1,1,7,7,12,1,5,6,8,5,8,0,N
9,3,7,4,5,3,8,7,2,5,6,6,7,2,8,8,X
8,2,3,2,1,1,7,7,5,8,6,6,8,1,8,6,Z
7,3,6,4,4,3,7,8,7,10,5,4,9,3,8,6,E
8,3,9,4,7,4,8,7,7,5,7,5,6,2,8,8,S
8,3,9,4,6,2,7,7,4,13,10,6,8,0,8,8,Z
8,5,9,6,7,6,7,5,13,2,7,9,8,3,9,0,H
8,6,15,6,8,3,7,3,3,5,12,4,13,2,7,6,L
6,2,7,3,5,2,8,7,1,6,11,5,8,1,6,1,J
7,4,9,6,6,3,7,3,1,8,8,2,10,2,5,4,L
8,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,I
5,4,8,6,6,4,5,8,5,8,11,10,9,3,8,5,E
5,5,11,7,8,5,5,9,4,9,11,9,8,3,8,5,E
7,2,4,4,3,2,7,7,2,9,12,6,8,1,8,5,Z
6,2,3,2,2,1,4,4,4,7,2,2,6,0,7,1,L
8,6,10,8,7,6,6,6,1,7,10,6,10,4,8,4,K
7,4,6,5,5,5,7,6,5,4,6,7,8,4,8,1,U
5,3,4,4,2,1,5,11,2,7,11,9,4,1,10,2,T
9,3,7,5,5,4,8,4,7,4,6,5,7,3,8,3,Q
10,4,11,5,8,5,8,7,13,1,6,6,7,6,8,1,N
8,5,9,6,7,4,8,7,13,2,6,9,8,8,6,0,M
9,4,7,6,5,4,8,11,2,2,6,10,8,4,10,4,V
8,3,8,4,6,1,8,15,1,6,6,11,9,0,8,0,T
8,4,9,5,7,4,7,7,8,5,7,6,8,3,8,3,O
8,4,10,6,8,4,7,4,1,7,8,2,10,1,6,3,L
4,3,4,5,6,5,8,11,4,2,8,7,6,4,11,8,H
10,1,0,1,1,0,7,7,6,5,6,5,9,1,7,5,G
7,5,9,5,6,3,2,11,4,4,11,12,8,2,10,1,V
10,1,0,2,1,0,7,7,6,7,7,6,13,0,8,4,C
8,2,1,2,2,1,7,7,11,1,5,6,8,4,8,0,N
8,1,0,1,0,0,7,7,6,3,7,6,8,2,8,3,O
7,2,1,2,1,1,5,10,4,4,10,9,5,1,10,2,F
8,6,7,5,5,2,4,12,4,4,11,11,7,3,10,1,V
8,4,5,5,7,3,7,8,9,8,7,8,8,3,8,4,O
11,5,7,7,5,4,9,8,4,6,9,4,7,3,7,5,R
